"","Sex","Handedness","RightIndexcm","RightRingcm"
"84","Female","Right",6.92872964548846,6.99827546088429
"85","Female","Right",10.0287296454885,8.39827546088429
"86","Male","Right",6.52872964548846,6.24827546088429
"87","Male","Right",11.9287296454885,7.59827546088429
"88","Male","Right",7.32872964548846,6.99827546088429
"89","Female","Right",5.77872964548846,5.49827546088429
"90","Female","Right",5.92872964548846,5.59827546088429
"91","Female","Right",5.92872964548846,5.99827546088429
"92","Female","Right",6.92872964548846,6.99827546088429
"93","Female","Left",7.92872964548846,7.49827546088429
"94","Male","Right",7.42872964548846,7.59827546088429
"95","Female","Right",6.72872964548846,6.49827546088429
"96","Female","Right",6.92872964548846,6.99827546088429
"97","Female","Right",6.62872964548846,6.99827546088429
"98","Female","Right",5.92872964548846,5.69827546088429
"99","Female","Right",7.92872964548846,7.99827546088429
"100","Female","Left",8.62872964548846,7.3982754608843
"101","Male","Right",6.92872964548846,7.19827546088429
"102","Male","Right",6.82872964548846,6.79827546088429
"103","Female","Left",7.42872964548846,8.29827546088429
"104","Female","Right",6.82872964548846,6.99827546088429
"105","Female","Right",7.92872964548846,6.99827546088429
"106","Female","Right",3.42872964548846,3.29827546088429
"107","Male","Right",9.42872964548847,8.49827546088429
"108","Female","Right",7.12872964548846,6.3982754608843
"109","Male","Right",9.42872964548847,9.99827546088429
"110","Female","Left",6.12872964548846,6.49827546088429
"111","Female","Right",7.92872964548846,8.19827546088429
"112","Female","Right",6.42872964548846,6.49827546088429
"113","Female","Right",7.92872964548846,8.19827546088429
"114","Male","Right",8.72872964548847,8.29827546088429
"115","Female","Right",6.72872964548846,6.99827546088429
"116","Female","Right",7.92872964548846,7.8982754608843
"117","Male","Right",8.32872964548847,8.99827546088429
"118","Female","Right",6.92872964548846,7.99827546088429
"119","Female","Right",7.42872964548846,7.99827546088429
"120","Female","Right",6.92872964548846,7.59827546088429
"121","Female","Right",6.62872964548846,7.19827546088429
"122","Female","Right",7.42872964548846,7.69827546088429
"123","Female","Right",6.92872964548846,7.29827546088429
"124","Female","Right",6.92872964548846,6.49827546088429
"125","Female","Right",7.32872964548846,6.99827546088429
"126","Female","Right",7.52872964548846,7.3982754608843
"127","Female","Right",7.92872964548846,8.49827546088429
"128","Female","Right",6.32872964548846,5.79827546088429
"129","Male","Right",6.92872964548846,7.99827546088429
